Date,Use_kWh
2012-01-22,11243.6
2012-01-23,11436.6
2012-01-24,11264.1
2012-01-25,11201.2
2012-01-26,11279.7
2012-01-27,11256.1
2012-01-28,11031.1
2012-01-29,11073.0
2012-01-30,13346.4
2012-01-31,14489.3
2012-02-01,13519.5
2012-02-02,13992.4
2012-02-03,13022.7
2012-02-04,10566.2
2012-02-05,10634.9
2012-02-06,12171.6
2012-02-07,
2012-02-08,
2012-02-09,
2012-02-10,
2012-02-11,
2012-02-12,
2012-02-13,
2012-02-14,
2012-02-15,
2012-02-16,
2012-02-17,
2012-02-18,
2012-02-19,
2012-02-20,
2012-02-21,
2012-02-22,
2012-02-23,
2012-02-24,
2012-02-25,
2012-02-26,
2012-02-27,
2012-02-28,
2012-02-29,
2012-03-01,
2012-03-02,
2012-03-03,
2012-03-04,
2012-03-05,
2012-03-06,
2012-03-07,
2012-03-08,
2012-03-09,
2012-03-10,
2012-03-11,
2012-03-12,
2012-03-13,
2012-03-14,
2012-03-15,
2012-03-16,
2012-03-17,
2012-03-18,
2012-03-19,
2012-03-20,
2012-03-21,
2012-03-22,
2012-03-23,
2012-03-24,
2012-03-25,
2012-03-26,
2012-03-27,
2012-03-28,
2012-03-29,
2012-03-30,
2012-03-31,
